umur,gender,occupation_group,nominal,periode_transaksi
41,pria,Amil,184761,Reguler
46,pria,PNS,537500,Reguler
54,pria,Amil,176799,Reguler
45,pria,Amil,575000,Reguler
33,wanita,Amil,450000,Reguler
30,pria,Amil,181019,Reguler
48,pria,Industri,220000,Reguler
34,pria,Marketing,450000,Reguler
35,pria,Industri,200000,Reguler
36,wanita,Freelancer,2175089,Reguler
39,pria,Industri,50000,Reguler
32,pria,Amil,6000000,Reguler
35,pria,Teknisi,150000,Reguler
39,pria,Industri,200000,Reguler
33,pria,Energi,1133700,Reguler
33,pria,Amil,100000,Reguler
40,pria,Amil,172263,Reguler
34,pria,Amil,255174,Reguler
44,pria,Amil,375000,Reguler
41,pria,Amil,184761,Reguler
51,wanita,Amil,500000,Reguler
41,pria,Amil,175750,Reguler
39,wanita,Amil,587500,Reguler
30,wanita,Konsultan,637500,Reguler
32,wanita,Amil,263623,Reguler
37,pria,Amil,256092,Reguler
56,pria,Amil,1250000,Reguler
31,pria,Amil,170681,Reguler
39,pria,Amil,209171,Reguler
36,pria,Amil,226763,Reguler
30,pria,Amil,587500,Reguler
46,pria,PNS,537500,Reguler
33,wanita,Amil,450000,Reguler
31,pria,Amil,190645,Reguler
29,wanita,Lainnya,350000,Reguler
47,pria,Amil,319074,Reguler
50,pria,Amil,750000,Reguler
31,wanita,Amil,203014,Reguler
54,pria,Amil,176799,Reguler
40,pria,Amil,600000,Reguler
48,pria,Amil,221038,Reguler
39,wanita,Amil,450000,Reguler
28,pria,Amil,244514,Reguler
35,pria,Pegawai Swasta,387500,Reguler
30,pria,Amil,181019,Reguler
36,pria,Amil,375000,Reguler
48,pria,Amil,219976,Reguler
47,pria,Amil,280833,Reguler
31,wanita,Amil,202917,Reguler
39,pria,Amil,825000,Reguler
35,pria,Amil,375000,Reguler
31,pria,Amil,246399,Reguler
31,pria,Amil,249225,Reguler
36,pria,Amil,587500,Reguler
41,pria,Amil,600000,Reguler
46,pria,Amil,175305,Reguler
39,pria,Amil,475000,Reguler
69,pria,Amil,475000,Reguler
41,wanita,Amil,575000,Reguler
37,wanita,Amil,240055,Reguler
51,pria,Amil,167472,Reguler
62,wanita,Amil,800000,Reguler
31,pria,Amil,272710,Reguler
52,pria,Amil,189250,Reguler
49,pria,Amil,875000,Reguler
48,pria,Amil,450000,Reguler
35,pria,Amil,258395,Reguler
29,pria,Amil,181330,Reguler
45,wanita,Amil,575000,Reguler
32,pria,Amil,190365,Reguler
45,pria,Amil,550000,Reguler
80,pria,Amil,1237500,Reguler
45,pria,Amil,256460,Reguler
45,pria,Amil,550000,Reguler
37,pria,Amil,550000,Reguler
33,pria,Amil,475000,Reguler
36,wanita,Amil,242654,Reguler
35,pria,Amil,375000,Reguler
28,wanita,Industri,296000,Reguler
34,wanita,Amil,170221,Reguler
45,pria,Amil,575000,Reguler
40,pria,Amil,575000,Reguler
31,wanita,Amil,171980,Reguler
31,pria,Amil,190365,Reguler
44,pria,Amil,825000,Reguler
35,pria,Amil,500000,Reguler
40,pria,Amil,168612,Reguler
42,pria,Amil,375000,Reguler
47,pria,Amil,575000,Reguler
31,pria,Pegawai Swasta,991660,Reguler
48,pria,Amil,312784,Reguler
48,pria,Amil,220070,Reguler
27,wanita,Lainnya,100000,Reguler
54,pria,PNS,12000000,Reguler
31,wanita,Staff,100000,Reguler
59,pria,Pegawai Swasta,4828000,Reguler
65,pria,Konsultan,25000000,Reguler
46,wanita,Akuntansi,280365,Reguler
39,pria,Akuntansi,196955,Reguler
33,wanita,Akuntansi,217570,Reguler
35,pria,Industri,250000,Reguler
30,pria,Konsultan,125000,Reguler
33,wanita,Staff,173533,Reguler
39,wanita,Pegawai Swasta,4865000,Reguler
38,pria,Industri,250000,Reguler
32,pria,Kesehatan,292000,Reguler
37,wanita,Kesehatan,12000000,Reguler
32,pria,Transportasi,19930000,Reguler
32,pria,Transportasi,3750000,Reguler
44,wanita,Pegawai Swasta,125000,Reguler
47,pria,Industri,850000,Reguler
37,wanita,Auditor,50000,Reguler
27,wanita,Lainnya,100000,Reguler
34,pria,Lainnya,570082,Reguler
39,wanita,Pegawai Swasta,4900000,Reguler
34,pria,PNS,230000,Reguler
34,wanita,PNS,186000,Reguler
33,pria,Konsultan,161570,Reguler
37,wanita,PNS,350000,Reguler
32,pria,Lainnya,361113,Reguler
32,pria,Lainnya,550000,Reguler
32,pria,Lainnya,300000,Reguler
32,pria,Lainnya,551536,Reguler
31,pria,Lainnya,388945,Reguler
32,pria,Lainnya,550000,Reguler
34,wanita,Konsultan,500000,Reguler
47,pria,Industri,2000000,Reguler
32,pria,Lainnya,300000,Reguler
34,pria,Lainnya,368265,Reguler
31,wanita,Lainnya,500000,Reguler
33,wanita,Akuntansi,523889,Reguler
31,pria,PNS,215000,Reguler
51,pria,Teknisi,388000,Reguler
28,wanita,Industri,419000,Reguler
51,pria,Lainnya,944320,Reguler
41,pria,Lainnya,897782,Reguler
34,pria,Lainnya,368265,Reguler
41,pria,Industri,2410000,Reguler
51,pria,Pegawai Swasta,350000,Reguler
44,wanita,Lainnya,421000,Reguler
41,pria,Transportasi,100000,Reguler
41,pria,Transportasi,100000,Reguler
46,pria,Konsultan,500000,Reguler
46,pria,Konsultan,500000,Reguler
33,wanita,Akuntansi,523889,Reguler
41,wanita,Lainnya,559068,Reguler
45,wanita,PNS,102333,Reguler
37,pria,Teknisi,175000,Reguler
55,wanita,PNS,130520,Reguler
56,pria,PNS,116230,Reguler
59,wanita,PNS,133235,Reguler
27,wanita,Amil,35001,Reguler
29,pria,Konsultan,110000,Reguler
29,pria,Konsultan,110000,Reguler
34,pria,Konsultan,400000,Reguler
32,pria,PNS,615000,Reguler
37,wanita,Auditor,50000,Reguler
31,pria,Lainnya,320000,Reguler
27,wanita,Amil,10000,Reguler
27,wanita,Amil,10001,Reguler
37,wanita,PNS,35000,Reguler
34,pria,Industri,450000,Reguler
39,wanita,Akuntansi,50000,Reguler
29,wanita,Lainnya,300000,Reguler
31,wanita,IT,1000000,Reguler
37,wanita,Auditor,50000,Reguler
63,wanita,Pegawai Swasta,2000000,Reguler
55,pria,Lainnya,1078290,Reguler
46,pria,Pegawai Swasta,9650000,Reguler
31,pria,Staff,256754,Reguler
33,pria,Konsultan,173635,Reguler
56,pria,PNS,128100,Reguler
38,pria,PNS,81100,Reguler
34,pria,Industri,255000,Reguler
32,pria,Lainnya,100000,Reguler
37,wanita,Auditor,50000,Reguler
32,wanita,Staff,1050000,Reguler
33,pria,Wiraswasta,590000,Reguler
35,pria,Amil,375000,Reguler
46,pria,PNS,537500,Reguler
40,pria,Amil,600000,Reguler
54,pria,Amil,176799,Reguler
51,wanita,Amil,500000,Reguler
45,pria,Amil,550000,Reguler
34,pria,Amil,255174,Reguler
39,pria,Amil,475000,Reguler
32,wanita,Amil,263623,Reguler
49,pria,Amil,875000,Reguler
32,pria,Amil,190365,Reguler
31,pria,Amil,272710,Reguler
46,pria,Amil,175305,Reguler
31,wanita,Amil,171980,Reguler
45,wanita,Amil,575000,Reguler
33,wanita,Amil,450000,Reguler
40,pria,Amil,172263,Reguler
42,pria,Amil,375000,Reguler
47,pria,Amil,280833,Reguler
39,wanita,Amil,450000,Reguler
34,pria,Industri,217500,Reguler
31,wanita,Amil,202917,Reguler
39,pria,Amil,209171,Reguler
50,pria,Amil,750000,Reguler
48,pria,Amil,450000,Reguler
39,pria,Industri,200000,Reguler
44,pria,Amil,375000,Reguler
31,pria,Amil,190365,Reguler
45,pria,Amil,256460,Reguler
39,pria,Industri,50000,Reguler
39,wanita,Amil,587500,Reguler
41,wanita,Amil,575000,Reguler
48,pria,Industri,225000,Reguler
48,pria,Amil,220070,Reguler
48,pria,Amil,312784,Reguler
44,pria,Amil,825000,Reguler
35,pria,Amil,375000,Reguler
37,pria,Amil,550000,Reguler
47,pria,Amil,575000,Reguler
37,pria,Amil,256092,Reguler
35,pria,Pegawai Swasta,387500,Reguler
36,pria,Amil,152887,Reguler
36,pria,Amil,226763,Reguler
36,wanita,Freelancer,590000,Reguler
36,wanita,Amil,242654,Reguler
41,pria,Amil,184761,Reguler
35,pria,Amil,258395,Reguler
31,wanita,Amil,203014,Reguler
41,pria,Amil,175750,Reguler
30,pria,Amil,587500,Reguler
56,pria,Amil,1250000,Reguler
80,pria,Amil,1237500,Reguler
52,pria,Amil,189250,Reguler
36,pria,Amil,587500,Reguler
31,pria,Amil,249225,Reguler
69,pria,Amil,475000,Reguler
41,pria,Amil,600000,Reguler
35,pria,Amil,500000,Reguler
45,pria,Amil,575000,Reguler
28,pria,Amil,244514,Reguler
33,pria,Amil,475000,Reguler
45,pria,Amil,550000,Reguler
29,pria,Amil,181330,Reguler
48,pria,Amil,221038,Reguler
40,pria,Amil,575000,Reguler
37,wanita,Amil,240055,Reguler
47,pria,Amil,319074,Reguler
30,pria,Amil,181019,Reguler
44,pria,Industri,900000,Reguler
31,pria,Amil,190645,Reguler
39,pria,Amil,825000,Reguler
62,wanita,Amil,800000,Reguler
31,pria,Amil,246399,Reguler
48,pria,Amil,219976,Reguler
36,pria,Amil,375000,Reguler
34,pria,Industri,365000,Reguler
35,pria,Teknisi,150000,Reguler
26,pria,Lainnya,140000,Reguler
33,pria,Amil,90000,Reguler
72,pria,PNS,5000000,Reguler
59,pria,Pegawai Swasta,4428000,Reguler
31,wanita,Staff,100000,Reguler
46,pria,PNS,50000,Reguler
35,pria,Konsultan,1000000,Reguler
31,pria,Pegawai Swasta,991660,Reguler
37,wanita,Auditor,50000,Reguler
36,wanita,Marketing,615825,Reguler
34,pria,Marketing,450000,Reguler
32,pria,Amil,6000000,Reguler
31,pria,Lainnya,210000,Reguler
49,pria,Lainnya,800000,Reguler
32,pria,Kesehatan,318125,Reguler
27,wanita,Amil,10001,Reguler
35,pria,Industri,200000,Reguler
33,pria,Konsultan,229160,Reguler
33,wanita,Staff,173533,Reguler
33,pria,Energi,437050,Reguler
29,wanita,Lainnya,395565,Reguler
30,pria,Konsultan,125000,Reguler
39,wanita,Pegawai Swasta,2500000,Reguler
52,pria,Lainnya,3100000,Reguler
35,pria,Industri,250000,Reguler
46,pria,PNS,103448,Reguler
31,pria,Industri,375637,Reguler
28,wanita,Industri,417000,Reguler
32,pria,Lainnya,551536,Reguler
56,pria,PNS,116230,Reguler
41,wanita,Lainnya,559068,Reguler
34,wanita,Konsultan,500000,Reguler
32,pria,Lainnya,361113,Reguler
37,pria,Teknisi,192500,Reguler
51,pria,Lainnya,944320,Reguler
41,pria,Lainnya,897782,Reguler
31,pria,Lainnya,388945,Reguler
46,wanita,Akuntansi,280365,Reguler
30,wanita,Lainnya,150000,Reguler
39,pria,Akuntansi,196955,Reguler
29,wanita,Lainnya,300000,Reguler
34,pria,Lainnya,368265,Reguler
45,wanita,PNS,102333,Reguler
59,wanita,PNS,133235,Reguler
34,pria,Lainnya,368265,Reguler
55,wanita,PNS,130520,Reguler
47,pria,Industri,2000000,Reguler
46,pria,Konsultan,500000,Reguler
32,pria,Akuntansi,820000,Reguler
51,pria,Teknisi,420000,Reguler
31,pria,Staff,180000,Reguler
37,wanita,Auditor,50000,Reguler
32,pria,PNS,407000,Reguler
33,wanita,Akuntansi,375000,Reguler
51,pria,Pegawai Swasta,350000,Reguler
39,wanita,Pegawai Swasta,4800000,Reguler
31,pria,PNS,215000,Reguler
32,pria,Lainnya,550000,Reguler
39,pria,Staff,25000,Reguler
54,pria,PNS,7500000,Reguler
32,pria,Lainnya,300000,Reguler
33,wanita,Akuntansi,255903,Reguler
41,pria,Industri,1850000,Reguler
27,wanita,Lainnya,50000,Reguler
47,pria,Energi,800000,Reguler
34,pria,Industri,706000,Reguler
29,wanita,Lainnya,250000,Reguler
31,pria,Amil,25000,Reguler
34,pria,Industri,401438,Reguler
37,wanita,PNS,350000,Reguler
31,wanita,Industri,158500,Reguler
46,wanita,Akuntansi,276740,Reguler
39,pria,Akuntansi,393909,Reguler
39,pria,Energi,750000,Reguler
38,pria,PNS,81100,Reguler
56,pria,PNS,128100,Reguler
31,pria,Staff,256754,Reguler
46,pria,PNS,176272,Reguler
79,pria,Dokter,19760000,Reguler
36,pria,Amil,152887,Reguler
34,pria,Industri,81750,Reguler
60,pria,Kesehatan,10000000,Reguler
33,pria,Wiraswasta,259000,Reguler
34,pria,Industri,217500,Reguler
31,wanita,Konsultan,250000,Reguler
37,pria,Amil,256092,Reguler
49,pria,Amil,875000,Reguler
40,pria,Amil,575000,Reguler
40,pria,Amil,600000,Reguler
36,pria,Amil,226763,Reguler
48,pria,Amil,219976,Reguler
32,wanita,Staff,1100000,Reguler
30,pria,Amil,587500,Reguler
45,pria,Amil,550000,Reguler
54,pria,Amil,176799,Reguler
72,pria,PNS,5000000,Reguler
28,pria,Amil,244514,Reguler
36,pria,Amil,375000,Reguler
31,pria,Pegawai Swasta,929160,Reguler
35,pria,Amil,258395,Reguler
41,wanita,Amil,575000,Reguler
31,wanita,Amil,171980,Reguler
48,pria,Amil,312784,Reguler
32,pria,Akuntansi,245000,Reguler
47,pria,Amil,280833,Reguler
37,wanita,Amil,240055,Reguler
35,pria,Pegawai Swasta,387500,Reguler
48,pria,Amil,220070,Reguler
40,pria,Amil,172263,Reguler
48,pria,Amil,221038,Reguler
44,pria,Industri,900000,Reguler
34,pria,Konsultan,250000,Reguler
39,pria,Amil,825000,Reguler
39,pria,Industri,50000,Reguler
62,wanita,Amil,800000,Reguler
33,pria,Amil,50000,Reguler
41,pria,Amil,184761,Reguler
33,pria,Amil,475000,Reguler
29,pria,Amil,181330,Reguler
39,pria,Amil,209171,Reguler
47,pria,Amil,319074,Reguler
30,pria,Amil,181019,Reguler
69,pria,Amil,475000,Reguler
52,pria,Amil,189250,Reguler
50,pria,Amil,750000,Reguler
34,pria,Industri,697900,Reguler
44,pria,Amil,375000,Reguler
37,pria,Amil,550000,Reguler
31,wanita,Amil,203014,Reguler
51,wanita,Amil,500000,Reguler
36,pria,Amil,587500,Reguler
31,pria,Amil,190365,Reguler
31,pria,Amil,249225,Reguler
31,pria,Amil,246399,Reguler
34,pria,Amil,255174,Reguler
39,pria,Amil,475000,Reguler
41,pria,Amil,175750,Reguler
35,pria,Amil,500000,Reguler
33,wanita,Amil,450000,Reguler
45,pria,Amil,256460,Reguler
46,pria,PNS,537500,Reguler
45,pria,Amil,550000,Reguler
46,pria,Amil,175305,Reguler
39,wanita,Amil,587500,Reguler
80,pria,Amil,1237500,Reguler
41,pria,Amil,600000,Reguler
31,wanita,Amil,202917,Reguler
35,pria,Amil,375000,Reguler
45,wanita,Amil,575000,Reguler
37,wanita,Auditor,50000,Reguler
39,wanita,Amil,450000,Reguler
36,wanita,Amil,242654,Reguler
45,pria,Amil,575000,Reguler
31,pria,Amil,272710,Reguler
32,pria,Amil,190365,Reguler
31,pria,Amil,190645,Reguler
48,pria,Amil,450000,Reguler
44,pria,Amil,825000,Reguler
36,wanita,Freelancer,565475,Reguler
56,pria,Amil,1250000,Reguler
32,wanita,Amil,263623,Reguler
42,pria,Amil,375000,Reguler
35,pria,Amil,375000,Reguler
47,pria,Amil,575000,Reguler
39,pria,Industri,200000,Reguler
38,pria,Energi,1600000,Reguler
48,pria,Industri,321000,Reguler
52,pria,Lainnya,3100000,Reguler
33,wanita,Amil,100000,Reguler
33,pria,Konsultan,173625,Reguler
34,pria,Industri,365000,Reguler
34,pria,Marketing,450000,Reguler
32,pria,Amil,6000000,Reguler
36,wanita,Marketing,615825,Reguler
48,wanita,PNS,212500,Reguler
35,pria,Teknisi,150000,Reguler
47,pria,Pegawai Swasta,10001000,Reguler
33,pria,Energi,437025,Reguler
32,pria,Kesehatan,318125,Reguler
32,pria,Akuntansi,2685000,Reguler
33,pria,Konsultan,331608,Reguler
49,pria,Lainnya,625000,Reguler
35,pria,Industri,200000,Reguler
31,pria,Industri,375637,Reguler
47,pria,Industri,2000000,Reguler
31,pria,PNS,215000,Reguler
47,pria,Energi,1000000,Reguler
29,wanita,Lainnya,325000,Reguler
51,pria,Lainnya,944320,Reguler
31,pria,Lainnya,388945,Reguler
34,pria,Lainnya,368265,Reguler
33,wanita,Akuntansi,300000,Reguler
41,wanita,Lainnya,559068,Reguler
29,wanita,Lainnya,905653,Reguler
39,wanita,Pegawai Swasta,2400000,Reguler
28,wanita,Industri,424000,Reguler
37,pria,Teknisi,192500,Reguler
34,pria,Lainnya,368265,Reguler
32,pria,Lainnya,361113,Reguler
30,pria,Konsultan,125000,Reguler
41,pria,Lainnya,897782,Reguler
39,pria,Staff,73000,Reguler
32,pria,Lainnya,551536,Reguler
59,pria,Pegawai Swasta,4428000,Reguler
46,pria,Konsultan,500000,Reguler
41,pria,Industri,1550000,Reguler
59,pria,Marketing,1625000,Reguler
36,pria,Amil,25000,Reguler
36,pria,Industri,285000,Reguler
37,wanita,Auditor,50000,Reguler
31,pria,Lainnya,210000,Reguler
32,pria,PNS,443000,Reguler
37,wanita,PNS,350000,Reguler
51,pria,Teknisi,420000,Reguler
35,pria,Industri,250000,Reguler
32,pria,Lainnya,100000,Reguler
55,pria,Amil,13000000,Reguler
63,wanita,Pegawai Swasta,2000000,Reguler
26,pria,Lainnya,340000,Reguler
37,wanita,PNS,333275,Reguler
29,wanita,Lainnya,350000,Reguler
51,pria,Pegawai Swasta,350000,Reguler
32,pria,Lainnya,450000,Reguler
31,wanita,IT,2000000,Reguler
39,pria,Akuntansi,196955,Reguler
46,wanita,Akuntansi,544105,Reguler
37,wanita,Auditor,50000,Reguler
55,pria,Lainnya,2430790,Reguler
34,pria,Industri,408000,Reguler
54,pria,PNS,5500000,Reguler
39,pria,Staff,84000,Reguler
39,pria,Staff,20000,Reguler
37,wanita,Auditor,50000,Reguler
42,pria,Lainnya,1800000,Reguler
46,pria,PNS,252505,Ramadhan
32,wanita,Konsultan,445000,Ramadhan
44,pria,Amil,90000,Ramadhan
31,pria,Lainnya,210000,Ramadhan
46,pria,Amil,175305,Ramadhan
34,pria,Industri,217500,Ramadhan
39,pria,Amil,825000,Ramadhan
45,pria,Amil,550000,Ramadhan
32,pria,Akuntansi,390000,Ramadhan
27,wanita,Amil,150000,Ramadhan
33,pria,Amil,475000,Ramadhan
36,wanita,Amil,242654,Ramadhan
33,pria,Konsultan,323897,Ramadhan
39,pria,Amil,475000,Ramadhan
40,pria,Amil,600000,Ramadhan
41,pria,Amil,600000,Ramadhan
32,pria,Amil,190365,Ramadhan
56,pria,Amil,1250000,Ramadhan
39,wanita,Amil,450000,Ramadhan
48,pria,Amil,219976,Ramadhan
37,pria,Amil,550000,Ramadhan
47,pria,Amil,575000,Ramadhan
31,pria,Pegawai Swasta,1460999,Ramadhan
48,pria,Amil,220070,Ramadhan
44,pria,Amil,825000,Ramadhan
72,pria,PNS,5000000,Ramadhan
47,pria,Amil,280833,Ramadhan
44,wanita,Marketing,2209646,Ramadhan
46,wanita,PNS,205277,Ramadhan
39,wanita,Amil,587500,Ramadhan
52,pria,Amil,189250,Ramadhan
31,pria,Amil,246399,Ramadhan
35,pria,Amil,375000,Ramadhan
36,pria,Amil,375000,Ramadhan
33,wanita,Amil,450000,Ramadhan
45,wanita,Amil,575000,Ramadhan
37,pria,Amil,256092,Ramadhan
28,pria,Amil,244514,Ramadhan
33,pria,Konsultan,180000,Ramadhan
35,pria,Amil,500000,Ramadhan
35,pria,Amil,258395,Ramadhan
35,pria,Pegawai Swasta,387500,Ramadhan
41,wanita,Amil,575000,Ramadhan
47,pria,IT,300000,Ramadhan
32,wanita,Staff,800000,Ramadhan
45,pria,Amil,575000,Ramadhan
39,pria,Amil,209171,Ramadhan
36,pria,Amil,226763,Ramadhan
47,pria,Amil,319074,Ramadhan
33,pria,Amil,180000,Ramadhan
31,pria,Amil,190365,Ramadhan
31,wanita,Amil,202917,Ramadhan
46,pria,PNS,537500,Ramadhan
45,pria,Amil,256460,Ramadhan
29,pria,Amil,181330,Ramadhan
50,pria,Amil,750000,Ramadhan
45,pria,Amil,550000,Ramadhan
54,pria,Amil,176799,Ramadhan
34,pria,Marketing,250000,Ramadhan
48,pria,Amil,450000,Ramadhan
31,pria,Amil,190645,Ramadhan
38,pria,Energi,1500000,Ramadhan
62,wanita,Amil,800000,Ramadhan
31,wanita,Amil,203014,Ramadhan
48,pria,Amil,312784,Ramadhan
44,pria,Amil,375000,Ramadhan
44,wanita,Marketing,4281241,Ramadhan
42,pria,Amil,375000,Ramadhan
41,pria,Amil,184761,Ramadhan
48,pria,Amil,221038,Ramadhan
40,pria,Amil,575000,Ramadhan
31,wanita,Amil,171980,Ramadhan
51,wanita,Amil,500000,Ramadhan
30,pria,Amil,587500,Ramadhan
69,pria,Amil,475000,Ramadhan
80,pria,Amil,1237500,Ramadhan
49,pria,Amil,875000,Ramadhan
30,pria,Amil,181019,Ramadhan
41,pria,Amil,175750,Ramadhan
31,pria,Amil,272710,Ramadhan
32,wanita,Amil,263623,Ramadhan
36,pria,Amil,587500,Ramadhan
31,pria,Amil,249225,Ramadhan
35,pria,Amil,375000,Ramadhan
32,pria,Akuntansi,126000,Ramadhan
34,pria,Amil,255174,Ramadhan
37,wanita,Amil,240055,Ramadhan
40,pria,Amil,172263,Ramadhan
36,pria,Amil,319151,Ramadhan
34,pria,Marketing,450000,Ramadhan
34,pria,Industri,359000,Ramadhan
47,pria,Energi,2800000,Ramadhan
48,pria,Industri,310000,Ramadhan
44,pria,Industri,900000,Ramadhan
36,wanita,Marketing,615826,Ramadhan
59,pria,Pegawai Swasta,4428000,Ramadhan
36,wanita,Freelancer,590000,Ramadhan
52,pria,Lainnya,6970000,Ramadhan
32,pria,Amil,6000000,Ramadhan
30,wanita,PNS,91280,Ramadhan
39,pria,Industri,50000,Ramadhan
39,pria,Industri,200000,Ramadhan
35,wanita,Lainnya,10000000,Ramadhan
30,wanita,PNS,230153,Ramadhan
31,wanita,Staff,100000,Ramadhan
31,wanita,Konsultan,250000,Ramadhan
50,wanita,Lainnya,10000000,Ramadhan
35,pria,Energi,423000,Ramadhan
49,pria,Energi,45000,Ramadhan
30,wanita,PNS,269309,Ramadhan
49,pria,Lainnya,1595500,Ramadhan
33,wanita,Staff,173533,Ramadhan
37,wanita,Auditor,25000,Ramadhan
30,wanita,Lainnya,150000,Ramadhan
33,wanita,Staff,173533,Ramadhan
35,pria,Industri,200000,Ramadhan
33,pria,Konsultan,161015,Ramadhan
34,pria,Lainnya,187930,Ramadhan
30,pria,Konsultan,125000,Ramadhan
31,pria,Pegawai Swasta,5205189,Ramadhan
35,pria,Teknisi,150000,Ramadhan
41,pria,Industri,2810000,Ramadhan
29,wanita,Lainnya,319119,Ramadhan
37,wanita,Auditor,50000,Ramadhan
27,wanita,Amil,10001,Ramadhan
30,wanita,Lainnya,300000,Ramadhan
39,wanita,Pegawai Swasta,3750000,Ramadhan
35,pria,Industri,250000,Ramadhan
43,pria,Akuntansi,7000000,Ramadhan
31,pria,Industri,375637,Ramadhan
32,pria,Kesehatan,318125,Ramadhan
38,pria,Kesehatan,800000,Ramadhan
32,pria,PNS,542000,Ramadhan
33,wanita,Akuntansi,279146,Ramadhan
59,pria,Marketing,1650000,Ramadhan
46,pria,Konsultan,500000,Ramadhan
47,pria,Industri,2000000,Ramadhan
54,pria,PNS,10000000,Ramadhan
33,wanita,Akuntansi,255903,Ramadhan
60,pria,Kesehatan,25000000,Ramadhan
31,pria,PNS,215000,Ramadhan
32,pria,Lainnya,300000,Ramadhan
37,pria,Teknisi,192500,Ramadhan
28,wanita,Industri,420000,Ramadhan
45,pria,Energi,37936944,Ramadhan
62,wanita,Amil,1400000,Ramadhan
33,wanita,Akuntansi,300000,Ramadhan
42,pria,Amil,375000,Ramadhan
36,pria,Amil,226763,Ramadhan
31,pria,Amil,272710,Ramadhan
49,pria,Amil,875000,Ramadhan
41,pria,Amil,175750,Ramadhan
48,pria,Amil,312784,Ramadhan
37,pria,Amil,550000,Ramadhan
51,wanita,Amil,500000,Ramadhan
51,pria,Pegawai Swasta,350000,Ramadhan
47,pria,Amil,319074,Ramadhan
39,wanita,Amil,450000,Ramadhan
46,pria,Amil,175305,Ramadhan
48,pria,Amil,219976,Ramadhan
45,pria,Amil,256460,Ramadhan
45,pria,Amil,550000,Ramadhan
35,pria,Amil,258395,Ramadhan
35,pria,Amil,375000,Ramadhan
41,pria,Amil,600000,Ramadhan
32,wanita,Amil,263623,Ramadhan
